statement,label,domain,source,correction
Last year was one of the deadliest years ever for law enforcement officers.,1.0,politics,politifact,
"Bernie Sanders's plan is ""to raise your taxes to 90 percent.",0.0,politics,politifact,
"Video says COVID-19 vaccines are ""weapons of mass destruction"" that ""could wipe out the human race.",0.0,politics,politifact,
It's actually the safest time to fly.,1.0,politics,politifact,
We know dangerous criminals can slip through immigration at airports just like ours. Yet Joe Donnelly stood right here with the radical left against all efforts to secure our most vulnerable entry points.,1.0,politics,politifact,
"Says PolitiFact ""listed Governor Scott Walker of Wisconsin as the Governor who told the most lies"" and ""our own 'untruthful' Governor Chris Christie made it into Politifact's top five of 'Lie - en Governors'.",1.0,politics,politifact,
"Video of Hunter Biden at the White House was taken on the ""same day they found cocaine.",1.0,politics,politifact,
"The president's proposed budget ""will help reduce the deficit by $400 billion over the next decade to the lowest level since Dwight Eisenhower was president.",1.0,politics,politifact,
The McCain campaign is roughly in the position where Vice President Gore was running against President Bush one week before the election of 2000.,1.0,politics,politifact,
'LOL' stands for 'Lucifer our Lord.' Satanists end their prayers by saying 'Lucifer our Lord'.,1.0,politics,politifact,
"Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.",1.0,politics,politifact,
Says a photo shows that climate change protesters left trash all over their protest side.,1.0,politics,politifact,
"Donald Trump Protester Speaks Out: 'I Was Paid $3,500 To Protest Trump's Rally.'",0.0,politics,politifact,
"Says Hillary Clinton's energy agenda ""will cost the U.S. economy over $5 trillion",1.0,politics,politifact,
"Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined.",1.0,politics,politifact,
Most polls show foreign nations have lower regard for the U.S. now than they did before Obama's time.,1.0,politics,politifact,
"I have a perfect voting record from organizations like the Veterans of Foreign Wars, the American Legion and all the other veterans service organizations.",1.0,politics,politifact,
"Fluoride in the water, that was originally done by the Nazis!",0.0,politics,politifact,
"Says U.S. Senate candidate Tommy Thompson ""admitted"" that Washington, D.C., ""changed"" him into an insider selling his influence to make millions from powerful special interests.",1.0,politics,politifact,
Bill Gates planned a smallpox-type outbreak.,1.0,politics,politifact,
Maybe they're just calling the common cold … the omicron variant.,1.0,politics,politifact,
"When the Affordable Care Act was signed, 17 million American children"" had a pre-existing condition and were ""uninsurable.",1.0,politics,politifact,
Says President Obama used government funds to pay for his personal vacations for the next 20 years and Trump sent him a bill.,0.0,politics,politifact,
Tarpon Springs takes its homeless to St. Petersburg.,1.0,politics,politifact,
Indiana State Police offers to hire Chicago officers who REFUSE TO COMPLY with vax mandate.,1.0,politics,politifact,
Black Lives Matter says it stands with Hamas terrorists in Israeli conflict.,1.0,politics,politifact,
Says a photo shows Bill Clinton and Christine Blasey Ford posing for a camera and smiling together.,0.0,politics,politifact,
"Says President Trump donated his ""second quarter salary to rebuild military cemeteries"" and that the media ignored it and every other story of him donating his salary as POTUS.",1.0,politics,politifact,
"Wisconsin's middle class is the ""most diminished"" in the United States.",1.0,politics,politifact,
"20 million people could lose their current coverage"" … ""including our senior citizens who are on Medicare.",0.0,politics,politifact,
"(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know that Trump closed 37 of them?",1.0,politics,politifact,
The Electoral College is much more advantageous for Democrats.,1.0,politics,politifact,
"Pfizer staged the Will Smith and Chris Rock confrontation at the Academy Awards because it ""has a new alopecia medication coming out.",1.0,politics,politifact,
Wayfair CEO steps down.,1.0,politics,politifact,
"A photo shows two men on the run who pretend to be homeless and then ""attack and rob you.",1.0,politics,politifact,
"Boston Marathon bombing suspect Tamerlan Tsarnaev is buried ""not far"" from President Kennedy's grave.",0.0,politics,politifact,
CNN says Dick Cheney will be advising Biden on foreign policy.,1.0,politics,politifact,
"Ninety-four percent of the bills that pass the Senate have no debate, no vote, no amendments, no reading of the bill, no online disclosure.",0.0,politics,politifact,
"Many"" of the founding fathers were ""very actively involved"" in cockfighting.",1.0,politics,politifact,
"Because Gov. Chris Christie vetoed a 30-bill job creation package, ""New Jersey ranks 50th in the nation in job creation.",0.0,politics,politifact,
"Patrick Rose ""voted to explore a state income tax.",0.0,politics,politifact,
The Supreme Court ruled today NO VOTING BY MAIL !!!,1.0,politics,politifact,
"A recent Obama executive order could ""lead to a number of investigations by Interpol in the United States, potentially aimed at American officials.",0.0,politics,politifact,
"Sen. Raphael Warnock ""voted for welfare for politicians plan. Up to $25 million of government money for Warnock's own political campaign.",1.0,politics,politifact,
"As a youth, ""I got arrested"" protesting for civil rights.",1.0,politics,politifact,
"I never once asked that (Megyn Kelly) be removed"" as a debate moderator.",1.0,politics,politifact,
"A McDonald's restaurant in Elkton, Md., was permanently closed ""due to a sex trafficking investigation.",0.0,politics,politifact,
"Abortion pills are dangerous and ""1 in 5 women will suffer a complication.",1.0,politics,politifact,
"Says Nancy Pelosi ""made millions in coronavirus insider trading.",1.0,politics,politifact,
Virginia man arrested for having Minecraft worlds that were exact replicas of classified U.S. military bases.,0.0,politics,politifact,
"Barack Obama ""openly supported (opposition leader) Raila Odinga during his visit to Africa in 2006.",1.0,politics,politifact,
"Police say thousands of people witnessed a ""demonic portal opening above White House.",1.0,politics,politifact,
"California Gov. Gavin Newsom ""just let 76,000 inmates out of jail.",1.0,politics,politifact,
Lindsay Parkhurst wants to take away programs like Social Security and Medicare that seniors have earned throughout their lifetimes.,0.0,politics,politifact,
Says Sen. Bill Nelson is a socialist.,0.0,politics,politifact,
"In 2010, Betty Sutton ""voted to destroy Medicare.",1.0,politics,politifact,
"The State Capitol Police ""recommended"" banning guns at the Capitol.",1.0,politics,politifact,
The Ukrainian government just indicted the Burisma gas company & named Hunter Biden for accepting millions of dollars from a slush fund.,1.0,politics,politifact,
"Muslims ""attempted to establish the first Islamic Sharia court inside the United States in the town of Irving, Texas.",1.0,politics,politifact,
"Silicon Valley Bank ""donated $73M to 'BLM Movement'",1.0,politics,politifact,
"Says Michele Bachmann said, ""The Chinese built a Great Wall 5,000 years ago. You don't see any illegal Mexicans in China.",0.0,politics,politifact,
"Barack Obama ""rejects everyone white, including his mother and his grandparents.",0.0,politics,politifact,
"40,000 rejected vote by mail ballots in DeKalb County need to be cured by Friday or they will be tossed.",1.0,politics,politifact,
"Says he's a ""retired U.S. Navy officer.",1.0,politics,politifact,
An anti-vaccine activist documented intimidation tactics used against her the day before she was killed.,1.0,politics,politifact,
"CDC COVID-19 survival rates"" are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",1.0,politics,politifact,
Says he was endorsed by the Valley News newspaper.,1.0,politics,politifact,
"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.",1.0,politics,politifact,
"Says Rick Perry recently said he ""wanted another (Texas) business tax.",0.0,politics,politifact,
The CDC has removed the 'Covid-19 Pandemic' and replaced it with 'Covid-19 Outbreak' on their website. It was never a pandemic.,0.0,politics,politifact,
"The goal of Common Core is ""to instill federally determined attitudes and mindsets in students including political and religious beliefs.",0.0,politics,politifact,
"Says Bruce Braley took ""tens of thousands from his friends in the health insurance industry"" and gave them ""special favors"" by voting for Obamacare.",0.0,politics,politifact,
Photo of unbroken windows proves war in Ukraine is fake.,0.0,politics,politifact,
Electric cars in California are not sustainable as only 10% of their batteries are recyclable and the state can't recycle them.,1.0,politics,politifact,
Pens provided by Maricopa County are part of a plot to rig the Arizona primary.,1.0,politics,politifact,
We haven't seen a single American megachurch offer anything to help Ukrainians.,1.0,politics,politifact,
"A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.",0.0,politics,politifact,
"Says when New York ""implemented a program"" to tax the wealthy at higher rates it saw a revenue shortfall ""because of the outward migration of their top earners.",1.0,politics,politifact,
Says Dominion Voting System flipped votes to Joe Biden in states where Trump is bringing legal challenges.,0.0,politics,politifact,
"Says Ted Cruz ""was just bribed by the Kochs to introduce a bill that would give them and their allies America's national forests, parks, and other public lands and open them for mining, drilling, fracking and logging.",0.0,politics,politifact,
